name,surface,molecule,n_metal,n_mol,old_energy,old_functional,new_energy,functional,mode,status,complex_snapshot_id
Au110_isoeugenol,Au110,isoeugenol,64,24,0.528,r2scan,,,,no validated size-matched selection,
Au110_isopentane,Au110,isopentane,64,17,0.304,r2scan,,,,no validated size-matched selection,
Au110_isoprene,Au110,isoprene,64,13,-0.17,r2scan,,,,no validated size-matched selection,
Au110_isopropanol,Au110,isopropanol,64,12,0.225,r2scan,,,,no validated size-matched selection,
Au110_lactic_acid,Au110,lactic_acid,64,12,0.254,r2scan,,,,no validated size-matched selection,
Au110_levoglucosan,Au110,levoglucosan,64,21,-4.345,r2scan,,,,no validated size-matched selection,
Au110_levulinic_acid,Au110,levulinic_acid,64,16,-0.364,pbe_d3,,,,no validated size-matched selection,
Au110_malonic_acid,Au110,malonic_acid,64,11,0.056,r2scan,,,,no validated size-matched selection,
Au110_methane,Au110,methane,64,5,0.518,r2scan,,,,no validated size-matched selection,
Au110_methanol,Au110,methanol,64,6,0.26,r2scan,,,,no validated size-matched selection,
Au110_methyl_formate,Au110,methyl_formate,64,8,-3.877,beef_vdw,,,,no validated size-matched selection,
Au110_methylcyclopentenolone,Au110,methylcyclopentenolone,64,16,0.478,r2scan,,,,no validated size-matched selection,
Au110_methylethylketone,Au110,methylethylketone,64,13,0.489,r2scan,,,,no validated size-matched selection,
Au110_methylmethacrylate,Au110,methylmethacrylate,64,15,-1.297,beef_vdw,,,,no validated size-matched selection,
Au110_muconic_acid,Au110,muconic_acid,64,16,0.038,r2scan,,,,no validated size-matched selection,
